address,permit_no,permit_date,description,lead_status
"102 CASTLE ROCK LN, WALCR CA 94598",B260418,04/03/2026,"Remodel and addition to an (E) detached 1-bedroom ADU. No bedroom or bathroom added.",New
"2231 BUENA VISTA AVE, WALCR CA 94597",B240430,04/02/2024,"DETACHED ADU - 985 SQ. FT.",New
"2231 BUENA VISTA AVE, WALCR CA 94597",B240431,04/02/2024,"DETACHED ADU - 992 SQ. FT.",New
"1862 3RD AVE, WALCR CA 94597",B260398,04/01/2026,"New 556 sq. ft. attached ADU. Scope includes an internal remodel of the existing kitchen (~200 sq. ft.).",New
"2354 WALNUT BL BLVD, WALCR CA 94597",B250389,03/31/2025,"731 SF 1-BEDROOM DETACHED ADU INCLUDING MECHANICAL, PLUMBING, ELECTRICAL & ASSOCIATED DRIVEWAY, HARDSCAPING, DECKING, GRADING, LANDSCAPE, AND FENCING.",New
"30 CAMEO CT, WALCR CA 94597",B260379,03/29/2026,"New ADU attached to an existing detached garage.",New
"699 BANYAN LN, A, WALCR 94598",B240394,03/27/2024,"NEW DETACHED ADU",New
"132 CALLE NOGALES, A, WALCR CA 94597",B260366,03/26/2026,"New 700 sf 2 bed 1 bath detached ADU with laundry, full kitchen, and solar",New
"950 TRAILS END DR, WALCR CA 94598",B250367,03/26/2025,"Accessory Structure (library/retreat & bathroom) - NOT ADU",New
"1868 DANIELLE CT, WALCR CA 94598",R26117,03/23/2026,"REVISION TO S26026-E: Changing existing main 200A breaker to 175A breaker for ADU solar system.",New
"1238 CONEJO WY WAY, WALCR CA 94597",B250322,03/19/2025,"ADU CONVERSION - Convert existing attached garage into a new JADU within the building footprint",New
"3053 BOWLING GREEN DR, WALCR CA 94598",B260342,03/18/2026,"(N) Detached ADU",New
"155 LAKEWOOD RD, WALCR CA 94598",S26040-E,03/18/2026,"ONLINE - 155A ADU. Roof mount 3.52 KW PV, 8 Solaria 440W panels and 8 Enphase Enphase IQ8A micro inverters",New
"2473 ENCINAL DR, A, WALCR 94597",R25073,03/17/2025,"CHANGE THE LOCATION OF THE DETACHED ADU- MOVE 6 FT TO THE SOUTH - REVISION TO B241531",New
"1764 THIRD AVE, A, WALNUT CREEK 94596",B240356,03/15/2024,"NEW ADU 800 SQ FT ATTACHED TO (E) GARAGE",New
"86 ORCHARD ESTATES DR, WALCR CA 94598",B240360,03/15/2024,"NEW SFR & CONVERT EXISTING 1600SQ FT SFR TO ADU",New
"86 ORCHARD ESTATES DR, WALCR CA 94598",R24079,03/15/2024,"REMOVE DEMOLITION, REMOVE NEW SFR, REMOVE NEW GARAGE, CONVERSION OF (E) TO ADU, UPDATE BATHROOM DOWNSTAIRS TO B220976",New
"298 NORMANDY LN, A, WALCR 94598",R25072,03/14/2025,"Electrical load calculations to show that 225 busbar is present at the main dwelling unit and demonstrate that the main panel has adeqiate capacity to support both the primary house and the proposed ADU. REVISION TO B240652",New
"1291 WALDEN RD, C, WALCR 94597",B240339,03/13/2024,"NEW DETACHED ADU 742 SQ FT",New
